2019-04-15-00-00-00  次日数据更新
2019-04-15-00-00-07  房间人数为 6
2019-04-15-00-00-22  房间人数为 6
2019-04-15-00-00-37  房间人数为 1
2019-04-15-00-00-52  房间人数为 1
2019-04-15-00-01-05  10799688025_bili 6666
2019-04-15-00-01-07  娃
2019-04-15-00-01-07  {"type":0,"barrage":"6666","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-15-00-01-07  房间人数为 1
2019-04-15-00-01-08  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"6666","addTime":"2019-04-15 00:01:08","control":0,"nick":"10799688025_bili","balance":54500,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-15-00-01-22  房间人数为 1
2019-04-15-00-01-37  房间人数为 1
2019-04-15-00-01-52  房间人数为 1
2019-04-15-00-02-07  房间人数为 1
2019-04-15-00-02-22  房间人数为 1
2019-04-15-00-02-32  10799688025_bili 点歌 绿色
2019-04-15-00-02-32  娃
2019-04-15-00-02-32  {"type":0,"barrage":"点歌绿色","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-15-00-02-32  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌绿色","addTime":"2019-04-15 00:02:32","control":0,"nick":"10799688025_bili","balance":54500,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-15-00-02-37  房间人数为 1
2019-04-15-00-02-52  房间人数为 1
2019-04-15-00-03-07  房间人数为 1
2019-04-15-00-03-22  房间人数为 1
2019-04-15-00-03-37  房间人数为 1
2019-04-15-00-03-52  房间人数为 1
2019-04-15-00-04-07  房间人数为 1
2019-04-15-00-04-23  房间人数为 1
2019-04-15-00-04-37  房间人数为 1
2019-04-15-00-04-53  房间人数为 1
2019-04-15-00-05-08  房间人数为 1
2019-04-15-00-05-22  房间人数为 1
2019-04-15-00-05-38  房间人数为 1
2019-04-15-00-05-53  房间人数为 1
2019-04-15-00-06-08  房间人数为 1
