2019-04-10-00-00-00  次日数据更新
2019-04-10-00-00-02  房间人数为 7
2019-04-10-00-00-17  房间人数为 7
2019-04-10-00-00-32  房间人数为 7
2019-04-10-00-00-47  房间人数为 7
2019-04-10-00-01-02  房间人数为 7
2019-04-10-00-01-17  房间人数为 7
2019-04-10-00-01-32  房间人数为 6
2019-04-10-00-01-47  房间人数为 6
2019-04-10-00-02-02  房间人数为 6
2019-04-10-00-02-17  房间人数为 6
2019-04-10-00-02-32  房间人数为 6
2019-04-10-00-02-37  更新cookie
2019-04-10-00-02-47  房间人数为 6
2019-04-10-00-03-02  房间人数为 6
2019-04-10-00-03-17  房间人数为 6
2019-04-10-00-03-32  房间人数为 6
2019-04-10-00-03-38  我shi养猫人 点歌 浪子回头
2019-04-10-00-03-38  娃
2019-04-10-00-03-38  {"type":0,"barrage":"点歌浪子回头","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-10-00-03-38  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌浪子回头","addTime":"2019-04-10 00:03:38","control":0,"nick":"我shi养猫人","balance":94400,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-10-00-03-47  房间人数为 6
2019-04-10-00-04-02  房间人数为 6
2019-04-10-00-04-17  房间人数为 6
2019-04-10-00-04-32  房间人数为 6
2019-04-10-00-04-47  10799688025_bili 点歌 我曾
2019-04-10-00-04-47  娃
2019-04-10-00-04-47  {"type":0,"barrage":"点歌我曾","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-10-00-04-47  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌我曾","addTime":"2019-04-10 00:04:47","control":0,"nick":"10799688025_bili","balance":66400,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-10-00-04-47  房间人数为 6
2019-04-10-00-05-02  房间人数为 6
2019-04-10-00-05-17  房间人数为 6
2019-04-10-00-05-32  房间人数为 6
2019-04-10-00-05-47  房间人数为 6
2019-04-10-00-06-02  房间人数为 6
2019-04-10-00-06-17  房间人数为 6
2019-04-10-00-06-32  房间人数为 6
2019-04-10-00-06-47  房间人数为 6
2019-04-10-00-06-48  娃娃星球 111
2019-04-10-00-06-48  娃
2019-04-10-00-06-48  {"type":0,"barrage":"111","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-10-00-06-48  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"111","addTime":"2019-04-10 00:06:48","control":0,"nick":"娃娃星球","balance":35000,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-10-00-07-02  房间人数为 6
